
# Waypoint History - Started at 2026-02-07 22:18:55 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:20:09 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:21:28 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:22:24 - Random Seed 1235
(0.525236, -0.295211, None),  cut
(0.523666, -0.296677, None),  cut
(0.522096, -0.298143, None),  cut
(0.520527, -0.299609, None),  cut
(0.518957, -0.301075, None),  cut
(0.561655, -0.262003, None),  cut
(0.540632, -0.237012, None),  cut
(0.519257, -0.211692, None),  cut
(0.49788, -0.186371, None),  cut
(0.476504, -0.161051, None),  cut
(0.455127, -0.13573, None),  cut
(0.436211, -0.118424, None),  cut
(0.426778, -0.131824, None),  cut
(0.415773, -0.139931, None),  cut
(0.404724, -0.148071, None),  cut
(0.393673, -0.156212, None),  cut
(0.382623, -0.164354, None),  cut
(0.371572, -0.172495, None),  cut
(0.360522, -0.180636, None),  cut
(0.349471, -0.188777, None),  cut
(0.33842, -0.196918, None),  cut
(0.32737, -0.205059, None),  cut
(0.316319, -0.2132, None),  cut
(0.305269, -0.221342, None),  cut
(0.294218, -0.229483, None),  cut
(0.283168, -0.237624, None),  cut
(0.272117, -0.245765, None),  cut
(0.261066, -0.253906, None),  cut
(0.218431, -0.118901, None),  cut
(0.214888, -0.118993, None),  cut
(0.211345, -0.119085, None),  cut
(0.207801, -0.119177, None),  cut
(0.204258, -0.119269, None),  cut
(0.200714, -0.119361, None),  cut
(0.197171, -0.119453, None),  cut
(0.193627, -0.119544, None),  cut
(0.190084, -0.119636, None),  cut
(0.18654, -0.119728, None),  cut
(-0.009693, -0.216777, None),  cut
(-0.019755, -0.211848, None),  cut
(-0.029817, -0.20692, None),  cut
(-0.039878, -0.201992, None),  cut
(-0.04994, -0.197063, None),  cut
(-0.060001, -0.192135, None),  cut
(-0.070063, -0.187206, None),  cut
(-0.080125, -0.182278, None),  cut
(-0.090186, -0.17735, None),  cut
(-0.100248, -0.172421, None),  cut
(-0.11031, -0.167493, None),  cut
(-0.120371, -0.162564, None),  cut
(-0.130433, -0.157636, None),  cut
(-0.140495, -0.152707, None),  cut
